market,latitude,longitude,year,month,temperature_mean,rainfall_monthly,humidity_mean
Agartala,23.84,91.28,1994,1,19.88,0.31,44.65
Agartala,23.84,91.28,1994,2,21.11,0.93,40.1
Agartala,23.84,91.28,1994,3,26.88,4.0,52.48
Agartala,23.84,91.28,1994,4,29.02,3.65,59.65
Agartala,23.84,91.28,1994,5,30.39,4.41,66.94
Agartala,23.84,91.28,1994,6,29.45,6.18,78.81
Agartala,23.84,91.28,1994,7,28.4,4.53,85.27
Agartala,23.84,91.28,1994,8,28.61,6.74,83.33
Agartala,23.84,91.28,1994,9,28.27,2.5,78.43
Agartala,23.84,91.28,1994,10,27.02,2.27,66.67
Agartala,23.84,91.28,1994,11,24.6,0.52,53.83
Agartala,23.84,91.28,1994,12,20.1,0.0,41.07
Agartala,23.84,91.28,1995,1,18.62,0.16,35.83
Agartala,23.84,91.28,1995,2,22.62,0.91,38.19
Agartala,23.84,91.28,1995,3,27.56,0.41,34.72
Agartala,23.84,91.28,1995,4,30.45,4.58,55.67
Agartala,23.84,91.28,1995,5,30.42,5.21,67.6
Agartala,23.84,91.28,1995,6,28.61,12.61,86.29
Agartala,23.84,91.28,1995,7,27.98,7.82,89.36
Agartala,23.84,91.28,1995,8,27.91,12.25,89.07
Agartala,23.84,91.28,1995,9,27.22,4.68,90.39
Agartala,23.84,91.28,1995,10,26.47,2.58,82.18
Agartala,23.84,91.28,1995,11,22.96,2.89,79.62
Agartala,23.84,91.28,1995,12,19.57,0.02,61.12
Agartala,23.84,91.28,1996,1,18.77,0.03,51.71
Agartala,23.84,91.28,1996,2,22.42,0.7,45.82
Agartala,23.84,91.28,1996,3,27.57,2.59,55.18
Agartala,23.84,91.28,1996,4,29.41,3.48,58.62
Agartala,23.84,91.28,1996,5,29.7,7.37,71.92
Agartala,23.84,91.28,1996,6,28.6,8.66,82.68
Agartala,23.84,91.28,1996,7,28.33,6.6,87.51
Agartala,23.84,91.28,1996,8,27.64,6.04,88.37
Agartala,23.84,91.28,1996,9,28.56,3.51,81.06
Agartala,23.84,91.28,1996,10,26.01,5.88,74.21
Agartala,23.84,91.28,1996,11,23.35,0.02,59.96
Agartala,23.84,91.28,1996,12,20.03,0.01,48.14
Agartala,23.84,91.28,1997,1,18.52,0.19,41.31
Agartala,23.84,91.28,1997,2,21.25,0.42,41.2
Agartala,23.84,91.28,1997,3,27.56,1.58,45.62
Agartala,23.84,91.28,1997,4,27.75,3.49,58.6
Agartala,23.84,91.28,1997,5,30.17,5.24,64.54
Agartala,23.84,91.28,1997,6,28.51,11.09,83.68
Agartala,23.84,91.28,1997,7,27.92,19.39,91.35
Agartala,23.84,91.28,1997,8,27.87,6.61,90.07
Agartala,23.84,91.28,1997,9,26.68,10.42,90.14
Agartala,23.84,91.28,1997,10,25.03,1.34,78.34
Agartala,23.84,91.28,1997,11,23.32,0.44,73.14
Agartala,23.84,91.28,1997,12,18.79,0.57,68.32
Agartala,23.84,91.28,1998,1,17.35,0.57,59.48
Agartala,23.84,91.28,1998,2,21.71,0.56,50.1
Agartala,23.84,91.28,1998,3,24.66,2.77,47.26
Agartala,23.84,91.28,1998,4,28.56,6.9,65.3
Agartala,23.84,91.28,1998,5,29.02,11.6,77.69
Agartala,23.84,91.28,1998,6,28.66,4.79,89.18
Agartala,23.84,91.28,1998,7,28.21,16.9,90.73
Agartala,23.84,91.28,1998,8,27.97,10.87,91.22
Agartala,23.84,91.28,1998,9,27.93,3.79,87.49
Agartala,23.84,91.28,1998,10,26.9,2.61,83.95
Agartala,23.84,91.28,1998,11,23.7,1.17,76.95
Agartala,23.84,91.28,1998,12,19.62,0.0,66.28
Agartala,23.84,91.28,1999,1,18.23,0.0,54.64
Agartala,23.84,91.28,1999,2,23.42,0.07,41.21
Agartala,23.84,91.28,1999,3,27.51,0.17,39.04
Agartala,23.84,91.28,1999,4,32.56,0.58,49.53
Agartala,23.84,91.28,1999,5,29.37,10.44,74.35
Agartala,23.84,91.28,1999,6,28.76,8.28,83.78
Agartala,23.84,91.28,1999,7,27.8,13.65,90.74
Agartala,23.84,91.28,1999,8,27.59,9.05,90.68
Agartala,23.84,91.28,1999,9,27.1,7.11,89.74
Agartala,23.84,91.28,1999,10,26.13,5.62,87.18
Agartala,23.84,91.28,1999,11,21.9,0.06,79.17
Agartala,23.84,91.28,1999,12,19.49,0.17,71.0
Agartala,23.84,91.28,2000,1,18.25,0.39,59.28
Agartala,23.84,91.28,2000,2,19.81,0.69,50.61
Agartala,23.84,91.28,2000,3,24.99,3.2,54.36
Agartala,23.84,91.28,2000,4,28.85,6.34,67.87
Agartala,23.84,91.28,2000,5,28.24,13.72,81.39
Agartala,23.84,91.28,2000,6,28.15,9.19,88.73
Agartala,23.84,91.28,2000,7,28.13,4.92,88.25
Agartala,23.84,91.28,2000,8,28.03,14.06,89.09
Agartala,23.84,91.28,2000,9,26.96,5.8,89.38
Agartala,23.84,91.28,2000,10,26.38,6.56,84.2
Agartala,23.84,91.28,2000,11,22.02,0.24,77.96
Agartala,23.84,91.28,2000,12,18.14,0.01,68.55
